"gene_id","count","log10_count"
"YAR033W",0,0
"YAR035C-A",0,0
"YAR035W",12,1.11394335230684
"YAR042W",73,1.86923171973098
"YAR047C",0,0
"YAR050W",6,0.845098040014257
"YAR053W",0,0
"YAR060C",0,0
"YAR061W",0,0
"YAR064W",0,0
"YAR066W",0,0
"YAR068W",0,0
"YAR069C",0,0
"YAR070C",0,0
"YAR071W",0,0
"YAR073W",0,0
"YAR075W",0,0
"YBL001C",161,2.20951501454263
"YBL002W",439,2.64345267648619
"YBL003C",254,2.40654018043396
"YBL004W",248,2.39619934709574
"YBL005W",55,1.7481880270062
"YBL005W-A",0,0
"YBL005W-B",0,0
"YBL006C",102,2.01283722470517
"YBL006W-A",31,1.50514997831991
"YBL007C",120,2.08278537031645
"YBL008W",45,1.66275783168157
"YBL008W-A",0,0
"YBL009W",15,1.20411998265592
"YBL010C",23,1.38021124171161
"YBL011W",43,1.64345267648619
"YBL012C",5,0.778151250383644
"YBL013W",2,0.477121254719662
"YBL014C",55,1.7481880270062
"YBL015W",270,2.43296929087441
"YBL016W",23,1.38021124171161
"YBL017C",372,2.57170883180869
"YBL018C",51,1.7160033436348
"YBL019W",49,1.69897000433602
"YBL020W",125,2.10037054511756
"YBL021C",56,1.75587485567249
"YBL022C",202,2.30749603791321
"YBL023C",51,1.7160033436348
"YBL024W",104,2.02118929906994
"YBL025W",22,1.36172783601759
"YBL026W",58,1.77085201164214
"YBL027W",634,2.80277372529198
"YBL028C",77,1.89209460269048
"YBL029C-A",61,1.79239168949825
"YBL029W",212,2.32837960343874
"YBL030C",520,2.71683772329952
"YBL031W",13,1.14612803567824
"YBL032W",33,1.53147891704226
"YBL033C",150,2.17897694729317
"YBL034C",84,1.92941892571429
"YBL035C",28,1.46239799789896
"YBL036C",115,2.06445798922692
"YBL037W",30,1.49136169383427
"YBL038W",176,2.24797326636181
"YBL039C",53,1.73239375982297
"YBL039C-A",0,0
"YBL039W-B",27,1.44715803134222
